,code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number
892,412883.1,Vibrio cholerae MZO-3,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18
893,591153.3,Pseudomonas syringae pv. syringae FF5,Pseudomonas,syringae,Pseudomonas syringae,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
894,702443.3,Bacteroides ovatus SD CMC 3f,Bacteroides,ovatus,Bacteroides ovatus,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8
895,469621.3,Fusobacterium sp. 1_1_41FAA,Fusobacterium,sp.,Fusobacterium sp.,mouth;blood;air;sediment;volcano,5
896,83333.1,Escherichia coli K12,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
897,198094.1,Bacillus anthracis str. Ames,Bacillus,anthracis,Bacillus anthracis,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
898,110662.5,Synechococcus sp. CC9605,Synechococcus,sp.,Synechococcus sp.,surface;waste;water;spring,4
899,110662.3,Synechococcus sp. CC9605,Synechococcus,sp.,Synechococcus sp.,surface;waste;water;spring,4
900,59920.3,Prochlorococcus marinus str. NATL2A,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1
901,59920.5,Prochlorococcus marinus str. NATL2A,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1
902,585159.3,Staphylococcus aureus subsp. aureus M899,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
903,316278.3,Synechococcus sp. RCC307,Synechococcus,sp.,Synechococcus sp.,surface;waste;water;spring,4
904,316278.4,Synechococcus sp. RCC307,Synechococcus,sp.,Synechococcus sp.,surface;waste;water;spring,4
905,585151.3,Staphylococcus aureus subsp. aureus C427,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
906,469613.3,Enterobacteriaceae bacterium 9_2_54FAA,Enterobacteriaceae,bacterium,Enterobacteriaceae bacterium,blood;field;soil;rhizosphere;sediment,5
907,585145.3,Staphylococcus aureus subsp. aureus 65-1322,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
908,426117.3,Methylobacterium sp. 4-46,Methylobacterium,sp.,Methylobacterium sp.,food;mine;water;air;lake;spring;dust;wetland;sludge;soil;cave;mouth;gut,13
